episode,timestep,reward
2,2000,0.0
7,4000,0.0
9,6000,0.0
12,8000,0.0
15,10000,0.0
17,12000,0.0
20,14000,0.0
23,16000,0.0
26,18000,0.0
30,20000,0.1888
32,22000,0.178
35,24000,0.0
39,26000,0.1187
42,28000,0.0
46,30000,0.0
49,32000,0.2658
53,34000,0.0
57,36000,0.0906
59,38000,0.2504
62,40000,0.2
64,42000,0.0
69,44000,0.0
74,46000,0.0
76,48000,0.0
81,50000,0.1689
85,52000,0.353
91,54000,0.0961
98,56000,0.046
102,58000,0.3137
108,60000,0.2655
116,62000,0.1966
120,64000,0.0
128,66000,0.4774
136,68000,0.5832
148,70000,0.1986
157,72000,0.2804
162,74000,0.2428
170,76000,0.1923
186,78000,0.3463
198,80000,0.4939
205,82000,0.3753
211,84000,0.4248
217,86000,0.3078
222,88000,0.3705
226,90000,0.4701
243,92000,0.3805
257,94000,0.4685
270,96000,0.3269
292,98000,0.4975
321,100000,0.4139
333,102000,0.7565
353,104000,0.3705
394,106000,0.4438
433,108000,0.4812
483,110000,0.3615
507,112000,0.4306
545,114000,0.4466
579,116000,0.5331
614,118000,0.4392
657,120000,0.577
683,122000,0.5907
703,124000,0.7142
749,126000,0.5027
781,128000,0.5222
833,130000,0.4789
891,132000,0.4658
943,134000,0.4046
991,136000,0.5186
1044,138000,0.5835
1083,140000,0.4962
1137,142000,0.519
1201,144000,0.4988
1264,146000,0.5221
1331,148000,0.4922
1398,150000,0.4773
1457,152000,0.5754
1513,154000,0.5684
1556,156000,0.4851
1617,158000,0.556
1676,160000,0.5085
1745,162000,0.4924
1809,164000,0.5151
1877,166000,0.5293
1909,168000,0.6362
1982,170000,0.5334
2046,172000,0.5618
2119,174000,0.4789
2153,176000,0.5429
2217,178000,0.5918
2296,180000,0.4443
2364,182000,0.5722
2436,184000,0.5149
2509,186000,0.6019
2587,188000,0.5757
2656,190000,0.5356
2728,192000,0.4312
2792,194000,0.6233
2847,196000,0.7057
2924,198000,0.4927
2991,200000,0.6254
3062,202000,0.5757
3120,204000,0.5033
3165,206000,0.4526
3230,208000,0.5229
3289,210000,0.6746
3360,212000,0.5766
3432,214000,0.5824
3505,216000,0.5195
3578,218000,0.5742
3645,220000,0.6395
3704,222000,0.6242
3776,224000,0.5681
3836,226000,0.6634
3907,228000,0.5487
3983,230000,0.5384
4053,232000,0.6549
4118,234000,0.689
4178,236000,0.6963
4244,238000,0.5593
4320,240000,0.4864
4394,242000,0.5393
4462,244000,0.6154
4519,246000,0.6812
4584,248000,0.5525
4643,250000,0.5757
4708,252000,0.6433
4776,254000,0.5585
4846,256000,0.5852
4912,258000,0.5439
4973,260000,0.7166
5038,262000,0.5684
5096,264000,0.7034
5164,266000,0.6153
5224,268000,0.6001
5294,270000,0.5702
5363,272000,0.5778
5442,274000,0.5439
5511,276000,0.6354
5572,278000,0.5554
5623,280000,0.6049
5686,282000,0.617
5749,284000,0.6641
5812,286000,0.6164
5879,288000,0.5649
5937,290000,0.6862
6001,292000,0.6381
6058,294000,0.5924
6121,296000,0.6326
6181,298000,0.7128
6254,300000,0.5883
6319,302000,0.6293
6383,304000,0.5775
6423,306000,0.6063
6477,308000,0.6478
6537,310000,0.647
6602,312000,0.6435
6670,314000,0.659
6736,316000,0.6487
6804,318000,0.6157
6862,320000,0.7198
6926,322000,0.6075
6980,324000,0.647
7051,326000,0.715
7110,328000,0.6747
7167,330000,0.6807
7217,332000,0.6746
7267,334000,0.7754
7321,336000,0.6806
7391,338000,0.5562
7451,340000,0.7621
7514,342000,0.6484
7579,344000,0.6582
7634,346000,0.6686
7699,348000,0.6276
7754,350000,0.7594
7816,352000,0.6585
7886,354000,0.6551
7954,356000,0.6297
8018,358000,0.6689
8080,360000,0.6263
8144,362000,0.7145
8222,364000,0.5382
8283,366000,0.7009
8345,368000,0.6578
8414,370000,0.6784
8470,372000,0.7807
8536,374000,0.6341
8606,376000,0.669
8674,378000,0.6451
8739,380000,0.7043
8805,382000,0.6935
8869,384000,0.7151
8936,386000,0.6538
9009,388000,0.6012
9067,390000,0.7876
9132,392000,0.6893
9189,394000,0.6813
9260,396000,0.6867
9327,398000,0.6539
9398,400000,0.6467
9462,402000,0.6225
9526,404000,0.6378
9586,406000,0.6305
9650,408000,0.6528
9707,410000,0.6442
9759,412000,0.8589
9818,414000,0.6746
9885,416000,0.6545
9946,418000,0.6692
10007,420000,0.7009
10072,422000,0.7043
10134,424000,0.7222
10186,426000,0.6878
10242,428000,0.7466
10312,430000,0.6114
10372,432000,0.6958
10429,434000,0.5244
10484,436000,0.6702
10542,438000,0.7704
10595,440000,0.7876
10657,442000,0.6751
10708,444000,0.7977
10767,446000,0.7082
10816,448000,0.7494
10883,450000,0.5799
10944,452000,0.6532
11004,454000,0.7623
11063,456000,0.6753
11112,458000,0.6695
11167,460000,0.7224
11226,462000,0.7417
11291,464000,0.6434
11339,466000,0.7436
11395,468000,0.7454
11455,470000,0.7124
11510,472000,0.7409
11578,474000,0.6581
11633,476000,0.7759
11680,478000,0.677
11733,480000,0.7678
11788,482000,0.687
11849,484000,0.6868
11903,486000,0.7176
11965,488000,0.7068
12020,490000,0.7407
12082,492000,0.7221
12152,494000,0.6968
12218,496000,0.6947
12285,498000,0.7276
12344,500000,0.7915
12409,502000,0.6741
12473,504000,0.7308
12535,506000,0.6902
12592,508000,0.7334
12655,510000,0.7104
12717,512000,0.7532
12784,514000,0.6247
12840,516000,0.711
12899,518000,0.7413
12958,520000,0.6748
13016,522000,0.6863
13072,524000,0.7449
13128,526000,0.7278
13183,528000,0.7236
13240,530000,0.6636
13294,532000,0.7544
13352,534000,0.6858
13399,536000,0.7601
13459,538000,0.6652
13512,540000,0.6582
13569,542000,0.7498
13621,544000,0.6691
13685,546000,0.7149
13743,548000,0.7717
13811,550000,0.6154
13868,552000,0.7152
13920,554000,0.7272
13969,556000,0.8499
14017,558000,0.8478
14070,560000,0.8428
14125,562000,0.7236
14174,564000,0.7893
14232,566000,0.7711
14287,568000,0.8119
14347,570000,0.6963
14413,572000,0.7384
14475,574000,0.7539
14540,576000,0.7207
14604,578000,0.7156
14664,580000,0.7784
14722,582000,0.7883
14787,584000,0.72
14850,586000,0.6956
14907,588000,0.7501
14970,590000,0.7266
15033,592000,0.7579
15091,594000,0.7031
15147,596000,0.7646
15208,598000,0.7488
15269,600000,0.6849
15327,602000,0.7211
15391,604000,0.7309
15449,606000,0.7878
15507,608000,0.8396
15571,610000,0.7617
15633,612000,0.8494
15708,614000,0.7299
15773,616000,0.6736
15838,618000,0.7651
15905,620000,0.7721
15965,622000,0.7789
16025,624000,0.7132
16083,626000,0.7874
16142,628000,0.7587
16207,630000,0.6596
16277,632000,0.6974
16335,634000,0.7554
16400,636000,0.7499
16458,638000,0.737
16516,640000,0.8222
16580,642000,0.6847
16637,644000,0.7352
16694,646000,0.7324
16754,648000,0.8612
16819,650000,0.7343
16858,652000,0.8111
16909,654000,0.8367
16972,656000,0.7892
17030,658000,0.823
17096,660000,0.7688
17164,662000,0.7612
17229,664000,0.7961
17297,666000,0.7605
17356,668000,0.775
17420,670000,0.7916
17479,672000,0.759
17546,674000,0.7579
17610,676000,0.7461
17668,678000,0.8049
17729,680000,0.7336
17793,682000,0.7928
17853,684000,0.795
17914,686000,0.6848
17977,688000,0.7739
18039,690000,0.7535
18102,692000,0.7274
18170,694000,0.7898
18236,696000,0.7393
18299,698000,0.7578
18356,700000,0.8539
18412,702000,0.8688
18479,704000,0.7134
18545,706000,0.7086
18609,708000,0.7613
18671,710000,0.7863
18737,712000,0.814
18805,714000,0.7749
18866,716000,0.8304
18924,718000,0.8051
18992,720000,0.7607
19058,722000,0.7836
19121,724000,0.7896
19192,726000,0.7431
19253,728000,0.8148
19313,730000,0.7293
19374,732000,0.8144
19436,734000,0.8811
19499,736000,0.7892
19564,738000,0.795
19631,740000,0.8167
19693,742000,0.7697
19751,744000,0.8735
19816,746000,0.7955
19876,748000,0.7138
19939,750000,0.8047
20004,752000,0.8416
20073,754000,0.807
20133,756000,0.7793
20191,758000,0.8553
20247,760000,0.8867
20311,762000,0.7458
20381,764000,0.6828
20445,766000,0.7304
20507,768000,0.8328
20569,770000,0.7697
20631,772000,0.7855
20695,774000,0.8073
20753,776000,0.7713
20812,778000,0.7748
20873,780000,0.8472
20934,782000,0.6525
20983,784000,0.7902
21044,786000,0.7006
21109,788000,0.7651
21169,790000,0.7126
21219,792000,0.7546
21281,794000,0.7067
21338,796000,0.8023
21395,798000,0.8018
21450,800000,0.9209
21519,802000,0.7207
21583,804000,0.7617
21640,806000,0.7517
21698,808000,0.8028
21761,810000,0.7426
21821,812000,0.7624
21878,814000,0.8017
21932,816000,0.8644
21991,818000,0.8252
22052,820000,0.7979
22111,822000,0.7757
22171,824000,0.7951
22236,826000,0.7352
22305,828000,0.8357
22369,830000,0.8701
22440,832000,0.7287
22510,834000,0.7107
22577,836000,0.6982
22643,838000,0.7681
22699,840000,0.8158
22755,842000,0.8509
22811,844000,0.9043
22876,846000,0.7646
22939,848000,0.8051
23004,850000,0.7194
23067,852000,0.8043
23122,854000,0.7771
23182,856000,0.8448
23240,858000,0.7885
23297,860000,0.8544
23346,862000,0.8704
23404,864000,0.856
23467,866000,0.7898
23531,868000,0.8233
23592,870000,0.7505
23648,872000,0.851
23700,874000,0.8393
23752,876000,0.8213
23812,878000,0.7946
23869,880000,0.7848
23923,882000,0.8272
23976,884000,0.8235
24027,886000,0.8757
24088,888000,0.8145
24143,890000,0.7786
24196,892000,0.822
24251,894000,0.7952
24308,896000,0.7852
24375,898000,0.7723
24442,900000,0.8456
24504,902000,0.8023
24561,904000,0.8883
24620,906000,0.7925
24689,908000,0.7642
24745,910000,0.8348
24812,912000,0.8015
24872,914000,0.8626
24940,916000,0.7314
25006,918000,0.7996
25068,920000,0.8967
25137,922000,0.722
25204,924000,0.7865
25267,926000,0.8204
25337,928000,0.7263
25405,930000,0.7758
25470,932000,0.7807
25534,934000,0.824
25592,936000,0.8726
25658,938000,0.8735
25724,940000,0.7835
25793,942000,0.8359
25867,944000,0.7269
25929,946000,0.8177
25995,948000,0.8137
26055,950000,0.8287
26120,952000,0.8415
26184,954000,0.8081
26250,956000,0.8136
26313,958000,0.8514
26373,960000,0.8284
26438,962000,0.8412
26497,964000,0.8255
26562,966000,0.7802
26628,968000,0.7538
26700,970000,0.7055
26765,972000,0.7951
26821,974000,0.7975
26880,976000,0.775
26930,978000,0.8732
26984,980000,0.8457
27046,982000,0.8019
27105,984000,0.8921
27166,986000,0.8634
27226,988000,0.8287
27294,990000,0.7607
27360,992000,0.8285
27424,994000,0.7773
27485,996000,0.8639
27548,998000,0.8668
27612,1000000,0.8235
