episode,timestep,reward
6,2000,0.0
13,4000,0.0
20,6000,0.0
27,8000,0.0
34,10000,0.0
41,12000,0.0
48,14000,0.0
55,16000,0.0
62,18000,0.0
69,20000,0.0
76,22000,0.0201
83,24000,0.0
90,26000,0.0
97,28000,0.0
104,30000,0.0
111,32000,0.0
118,34000,0.0
125,36000,0.0
131,38000,0.0
138,40000,0.0
145,42000,0.0
152,44000,0.0
159,46000,0.0
166,48000,0.0
173,50000,0.0
180,52000,0.0
188,54000,0.0668
194,56000,0.0
201,58000,0.0
208,60000,0.0
215,62000,0.0214
223,64000,0.0469
230,66000,0.0
237,68000,0.0406
244,70000,0.0
251,72000,0.0536
258,74000,0.0
265,76000,0.0
272,78000,0.0804
279,80000,0.0
286,82000,0.0
293,84000,0.0
300,86000,0.0
307,88000,0.0
314,90000,0.0
321,92000,0.0955
329,94000,0.084
337,96000,0.1488
344,98000,0.0482
351,100000,0.0
358,102000,0.0
365,104000,0.0
374,106000,0.2038
381,108000,0.054
390,110000,0.2847
397,112000,0.0
405,114000,0.1309
413,116000,0.1043
420,118000,0.0
427,120000,0.0
435,122000,0.2316
443,124000,0.0605
451,126000,0.1746
459,128000,0.1027
466,130000,0.1871
474,132000,0.1066
481,134000,0.0
488,136000,0.0696
497,138000,0.1372
504,140000,0.0768
512,142000,0.1711
519,144000,0.0286
527,146000,0.1277
535,148000,0.1949
542,150000,0.0
551,152000,0.1677
559,154000,0.1684
568,156000,0.226
575,158000,0.0848
584,160000,0.1767
591,162000,0.0714
601,164000,0.345
611,166000,0.3006
620,168000,0.3372
629,170000,0.1694
638,172000,0.2424
646,174000,0.1355
656,176000,0.3853
667,178000,0.3619
680,180000,0.5454
692,182000,0.3862
702,184000,0.3756
714,186000,0.4615
732,188000,0.6068
742,190000,0.3587
755,192000,0.5012
764,194000,0.2458
773,196000,0.3059
783,198000,0.3256
797,200000,0.4725
811,202000,0.5996
827,204000,0.5877
839,206000,0.3927
849,208000,0.3209
860,210000,0.3858
875,212000,0.606
889,214000,0.519
903,216000,0.4763
917,218000,0.5924
930,220000,0.4779
944,222000,0.5154
959,224000,0.5708
973,226000,0.5047
987,228000,0.4984
1007,230000,0.6769
1027,232000,0.6689
1041,234000,0.5241
1059,236000,0.6368
1077,238000,0.6318
1093,240000,0.5963
1116,242000,0.7
1133,244000,0.6149
1150,246000,0.6119
1164,248000,0.5254
1185,250000,0.6854
1206,252000,0.6948
1228,254000,0.7325
1250,256000,0.6641
1276,258000,0.7809
1304,260000,0.7594
1324,262000,0.6775
1351,264000,0.7291
1379,266000,0.7783
1408,268000,0.7739
1438,270000,0.8019
1470,272000,0.7923
1513,274000,0.8481
1539,276000,0.7588
1565,278000,0.7353
1592,280000,0.7668
1611,282000,0.6316
1641,284000,0.7868
1663,286000,0.7241
1705,288000,0.8348
1739,290000,0.8061
1772,292000,0.8196
1811,294000,0.8232
1857,296000,0.8599
1890,298000,0.8187
1921,300000,0.7756
1964,302000,0.848
1998,304000,0.8375
2039,306000,0.8411
2068,308000,0.7814
2101,310000,0.775
2145,312000,0.8522
2192,314000,0.8628
2226,316000,0.8114
2276,318000,0.8774
2330,320000,0.8885
2385,322000,0.8787
2437,324000,0.8837
2485,326000,0.8581
2529,328000,0.856
2586,330000,0.89
2648,332000,0.9002
2709,334000,0.8978
2759,336000,0.8753
2824,338000,0.9035
2893,340000,0.9072
2949,342000,0.8866
3008,344000,0.8925
3075,346000,0.9065
3124,348000,0.8702
3167,350000,0.8497
3202,352000,0.814
3255,354000,0.8782
3314,356000,0.8954
3369,358000,0.8855
3437,360000,0.906
3501,362000,0.9022
3571,364000,0.9117
3639,366000,0.908
3702,368000,0.9004
3779,370000,0.919
3861,372000,0.9236
3935,374000,0.9159
4010,376000,0.9169
4077,378000,0.9062
4156,380000,0.9211
4231,382000,0.9167
4302,384000,0.9116
4377,386000,0.9164
4450,388000,0.9132
4536,390000,0.9276
4609,392000,0.9128
4682,394000,0.9139
4767,396000,0.9253
4851,398000,0.9259
4940,400000,0.9299
5019,402000,0.9205
5097,404000,0.9207
5182,406000,0.9259
5266,408000,0.9268
5334,410000,0.9119
5396,412000,0.892
5484,414000,0.9287
5570,416000,0.9274
5654,418000,0.9256
5730,420000,0.9172
5796,422000,0.9011
5874,424000,0.9188
5950,426000,0.9195
6032,428000,0.922
6104,430000,0.912
6191,432000,0.9281
6259,434000,0.9066
6331,436000,0.918
6400,438000,0.9018
6491,440000,0.9314
6578,442000,0.9283
6646,444000,0.9066
6732,446000,0.927
6802,448000,0.9078
6895,450000,0.9331
6969,452000,0.9143
7061,454000,0.932
7153,456000,0.9317
7248,458000,0.9344
7334,460000,0.9275
7422,462000,0.9306
7482,464000,0.8994
7550,466000,0.9053
7618,468000,0.9007
7707,470000,0.9297
7780,472000,0.9136
7840,474000,0.8925
7933,476000,0.9327
8027,478000,0.9336
8125,480000,0.9363
8218,482000,0.9324
8313,484000,0.9342
8402,486000,0.9298
8488,488000,0.9274
8576,490000,0.929
8655,492000,0.9199
8748,494000,0.9329
8832,496000,0.9256
8918,498000,0.9274
9012,500000,0.9332
9107,502000,0.9344
9199,504000,0.9322
9283,506000,0.9246
9375,508000,0.9321
9462,510000,0.9278
9559,512000,0.9354
9649,514000,0.9312
9745,516000,0.9345
9839,518000,0.9336
9934,520000,0.9345
10027,522000,0.932
10115,524000,0.9293
10205,526000,0.9305
10278,528000,0.9128
10384,530000,0.9412
10481,532000,0.9357
10576,534000,0.9338
10672,536000,0.9358
10769,538000,0.9347
10865,540000,0.9349
10965,542000,0.9377
11064,544000,0.9369
11169,546000,0.9404
11268,548000,0.9382
11364,550000,0.9335
11460,552000,0.9351
11556,554000,0.9349
11652,556000,0.9349
11745,558000,0.9331
11844,560000,0.9363
11941,562000,0.9358
12038,564000,0.936
12131,566000,0.9322
12232,568000,0.938
12329,570000,0.9361
12430,572000,0.9378
12492,574000,0.8991
12562,576000,0.9065
12644,578000,0.9226
12728,580000,0.9255
12822,582000,0.9327
12907,584000,0.9251
12996,586000,0.9285
13092,588000,0.9348
13183,590000,0.9301
13283,592000,0.9375
13383,594000,0.9377
13486,596000,0.9391
13584,598000,0.9368
13685,600000,0.9376
13788,602000,0.9394
13891,604000,0.9392
13992,606000,0.9384
14091,608000,0.9368
14197,610000,0.9408
14300,612000,0.9393
14404,614000,0.9399
14497,616000,0.9329
14594,618000,0.9354
14697,620000,0.9393
14796,622000,0.9374
14900,624000,0.9397
14999,626000,0.9369
15094,628000,0.9342
15199,630000,0.9404
15300,632000,0.9381
15406,634000,0.9409
15507,636000,0.9384
15603,638000,0.935
15707,640000,0.9395
15811,642000,0.9401
15920,644000,0.9428
16017,646000,0.9354
16110,648000,0.9329
16193,650000,0.9232
16294,652000,0.9385
16395,654000,0.9378
16493,656000,0.9366
16593,658000,0.9372
16688,660000,0.9339
16786,662000,0.9365
16892,664000,0.9408
16991,666000,0.937
17095,668000,0.94
17189,670000,0.9336
17292,672000,0.9393
17367,674000,0.9156
17470,676000,0.9391
17573,678000,0.9395
17681,680000,0.9419
17769,682000,0.9275
17855,684000,0.9265
17961,686000,0.9409
18068,688000,0.9417
18165,690000,0.9353
18257,692000,0.9309
18360,694000,0.9395
18468,696000,0.9424
18567,698000,0.9365
18664,700000,0.9358
18767,702000,0.9397
18854,704000,0.9266
18959,706000,0.9404
19066,708000,0.9421
19170,710000,0.9396
19272,712000,0.9384
19353,714000,0.9215
19443,716000,0.9303
19545,718000,0.9383
19651,720000,0.9409
19731,722000,0.9207
19840,724000,0.9429
19872,726000,0.7917
19906,728000,0.8006
19938,730000,0.7966
19949,732000,0.4224
19984,734000,0.8154
20023,736000,0.8113
20070,738000,0.8602
20135,740000,0.901
20216,742000,0.9211
20294,744000,0.9201
20382,746000,0.9289
20474,748000,0.9325
20568,750000,0.9332
20655,752000,0.9316
20740,754000,0.9221
20833,756000,0.9325
20938,758000,0.9406
21030,760000,0.9324
21125,762000,0.9353
21196,764000,0.9079
21284,766000,0.9286
21390,768000,0.941
21478,770000,0.9283
21570,772000,0.932
21675,774000,0.9403
21779,776000,0.9397
21861,778000,0.9226
21936,780000,0.9255
22039,782000,0.9309
22140,784000,0.9384
22228,786000,0.9274
22324,788000,0.9354
